time (seconds),encoderLeft (meters),encoderRight (meters)
158.399,3.563218593597412,2.9520227909088135
158.501,3.5832035541534424,2.9719560146331787
158.601,3.6032023429870605,2.9919545650482178
158.699,3.6232011318206787,3.011953115463257
158.798,3.643199920654297,3.031951427459717
158.901,3.663198709487915,3.051949977874756
158.999,3.6655514240264893,3.0496485233306885
159.098,3.6678991317749023,3.0472970008850098
159.199,3.6702468395233154,3.044945478439331
159.301,3.690232992172241,3.064880132675171
159.397,3.7102320194244385,3.084878444671631
159.499,3.7302308082580566,3.10487699508667
159.599,3.750229835510254,3.12487530708313
159.698,3.770228624343872,3.144873857498169
159.8,3.7902274131774902,3.164872169494629
159.901,3.7925798892974854,3.1625707149505615
160.001,3.7949275970458984,3.160219192504883
160.099,3.7972753047943115,3.157867670059204
160.201,3.8172619342803955,3.1778039932250977
160.3,3.8372607231140137,3.1978025436401367
160.401,3.857259511947632,3.217801094055176
160.501,3.87725830078125,3.237799644470215
160.601,3.897257089614868,3.257798194885254
160.7,3.9172558784484863,3.277796745300293
160.801,3.9372544288635254,3.297795295715332
160.901,3.9396071434020996,3.295492172241211
161,3.9419548511505127,3.2931406497955322
161.101,3.961942672729492,3.313098192214966
161.201,3.9819414615631104,3.333096742630005
161.298,4.0019402503967285,3.353095293045044
161.399,4.021938800811768,3.373093843460083
161.501,4.041937828063965,3.393092393875122
161.598,4.061936378479004,3.413090944290161
161.701,4.081935405731201,3.4330894947052
161.799,4.10193395614624,3.4530880451202393
161.901,4.1219329833984375,3.4730865955352783
161.998,4.1242852210998535,3.4707841873168945
162.101,4.126633167266846,3.468432664871216
162.202,4.146620750427246,3.488369941711426
162.301,4.166619300842285,3.508368492126465
162.401,4.186617851257324,3.528367280960083
162.501,4.2066168785095215,3.548365831375122
162.601,4.2266154289245605,3.568364381790161
162.703,4.246614456176758,3.5883629322052
162.801,4.266613006591797,3.6083614826202393
162.9,4.286611557006836,3.6283600330352783
163.001,4.306610584259033,3.6483585834503174
163.101,4.308962821960449,3.6460561752319336
163.2,4.311310768127441,3.643704652786255
163.298,4.331299304962158,3.6636455059051514
163.401,4.351297855377197,3.6836440563201904
163.501,4.371296405792236,3.7036426067352295
163.6,4.391295433044434,3.7236411571502686
163.699,4.411293983459473,3.7436397075653076
163.798,4.431292533874512,3.763638496398926
163.902,4.451291561126709,3.783637046813965
164,4.471290111541748,3.803635597229004
164.1,4.491288661956787,3.823634147644043
164.201,4.511287689208984,3.843632698059082
164.301,4.531286239624023,3.863631248474121
164.401,4.5336384773254395,3.8613288402557373
164.5,4.5536274909973145,3.8812665939331055
164.599,4.5736260414123535,3.9012651443481445
164.701,4.593624591827393,3.9212639331817627
164.799,4.61362361907959,3.9412624835968018
164.901,4.633622169494629,3.961261034011841
165.001,4.653620719909668,3.98125958442688
165.101,4.673618316650391,4.001242637634277
165.2,4.693622589111328,4.021191120147705
165.301,4.713626861572266,4.041140556335449
165.401,4.733633518218994,4.061075210571289
165.501,4.753639221191406,4.081015586853027
165.6,4.773643493652344,4.100956916809082
165.701,4.793648719787598,4.120898723602295
165.8,4.793677806854248,4.12092399597168
165.901,4.793676376342773,4.120922565460205
166,4.793675422668457,4.120920181274414
166.101,4.793673992156982,4.120916366577148
166.201,4.793672561645508,4.120911598205566
166.301,4.793671131134033,4.120907783508301
166.399,4.793669700622559,4.120903491973877
166.499,4.793667793273926,4.120898246765137
166.6,4.793666362762451,4.120894908905029
166.7,4.793664932250977,4.1208906173706055
166.801,4.793663024902344,4.120885372161865
166.901,4.793661594390869,4.1208815574646
167,4.793659687042236,4.120874881744385
167.1,4.7936577796936035,4.12086820602417
167.201,4.793655872344971,4.120861530303955
167.301,4.793653964996338,4.120854377746582
167.401,4.793652057647705,4.120847702026367
167.502,4.793650150299072,4.120841026306152
167.6,4.793648719787598,4.1208343505859375
167.701,4.793646812438965,4.120826721191406
167.804,4.793644905090332,4.120819568634033
167.904,4.793642997741699,4.120813369750977
167.998,4.793641567230225,4.12080717086792
168.101,4.793639659881592,4.120800971984863
168.2,4.793637752532959,4.120794773101807
168.296,4.793636798858643,4.120790004730225
168.4,4.793635368347168,4.120787620544434
168.5,4.793634414672852,4.120786190032959
168.6,4.793632984161377,4.120784759521484
168.701,4.7936320304870605,4.12078332901001
168.8,4.793631076812744,4.120781898498535
168.901,4.7936296463012695,4.120780944824219
169,4.793628692626953,4.120779514312744
169.101,4.7936272621154785,4.1207780838012695
169.201,4.793626308441162,4.120776653289795
169.3,4.7936248779296875,4.1207756996154785
169.399,4.793623924255371,4.120774269104004
169.499,4.7936224937438965,4.120772838592529
169.6,4.79362154006958,4.120771884918213
169.701,4.7936201095581055,4.120770454406738
169.797,4.793619155883789,4.120769023895264
169.9,4.793618202209473,4.120767593383789
170.001,4.793616771697998,4.120766639709473
