time (seconds),encoderLeft (meters),encoderRight (meters)
74.401,-0.0008607241907157004,-0.0009583355276845396
74.494,-0.0008618998108431697,-0.0009596430463716388
74.599,-0.0008620041189715266,-0.0009597663301974535
74.698,-0.0008620041189715266,-0.0009597663301974535
74.801,-0.0008620041189715266,-0.0009597663301974535
74.898,-0.0008620041189715266,-0.0009597663301974535
75.001,-0.0008616330451332033,-0.0009596580057404935
75.101,-0.0008622672758065164,-0.0009604596998542547
75.201,-0.000863499182742089,-0.0009618158219382167
75.299,-0.0008647385984659195,-0.0009631788125261664
75.4,-0.0008659694576635957,-0.0009645335376262665
75.498,-0.0008672081166878343,-0.0009658961789682508
75.601,-0.0008684434578754008,-0.0009672549786046147
75.701,-0.0008696798468008637,-0.0009686123812571168
75.8,-0.0008709178655408323,-0.0009699732181616127
75.901,-0.0008721567573957145,-0.0009713348699733615
76.001,-0.0008733959402889013,-0.000972694659139961
76.098,-0.0008746343664824963,-0.0009740534005686641
76.2,-0.0008758778567425907,-0.0009754179045557976
76.301,-0.0008771179127506912,-0.0009767793817445636
76.401,-0.0008783007506281137,-0.0009780902182683349
76.5,-0.0008794288733042777,-0.0009793497156351805
76.6,-0.0008806032710708678,-0.0009806541493162513
76.699,-0.0008817531634122133,-0.000981937162578106
76.801,-0.0008829418220557272,-0.0009832554496824741
76.901,-0.0008840651717036963,-0.0009845092426985502
76.999,-0.0008852567407302558,-0.0009858326520770788
77.095,-0.0008864249102771282,-0.0009871317306533456
77.201,-0.0008876138599589467,-0.000988453277386725
77.301,-0.0008887998410500586,-0.0009897727286443114
77.401,0.001457400037907064,-0.0033393418416380882
77.501,0.0038054061587899923,-0.005690851714462042
77.599,0.006153416354209185,-0.008042354136705399
77.7,0.008501455187797546,-0.010393819771707058
77.801,0.010849489830434322,-0.012745306827127934
77.901,0.013197490945458412,-0.015096807852387428
77.998,0.015545528382062912,-0.017448246479034424
78.098,0.017893515527248383,-0.01979978010058403
78.201,0.02024153433740139,-0.022151242941617966
78.296,0.022589540109038353,-0.024502748623490334
78.401,0.024937568232417107,-0.026854241266846657
78.501,0.027285607531666756,-0.02920571342110634
78.601,0.029633628204464912,-0.03155719116330147
78.701,0.031981632113456726,-0.033908694982528687
78.801,0.03432963415980339,-0.03626018762588501
78.899,0.036677680909633636,-0.038611650466918945
78.999,0.0390256866812706,-0.040963128209114075
79.101,0.04137371852993965,-0.043314628303050995
79.199,0.043721720576286316,-0.045666102319955826
79.301,0.04606977477669716,-0.04801756516098976
79.4,0.0484178364276886,-0.050369031727313995
79.5,0.05076581984758377,-0.052720531821250916
79.601,0.05311383306980133,-0.055072031915187836
79.701,0.055461857467889786,-0.057423513382673264
79.801,0.05780991166830063,-0.0597749724984169
79.901,0.06015792116522789,-0.06212648004293442
80.001,0.06250596791505814,-0.06447791308164597
80.101,0.0648539811372757,-0.06682941317558289
80.198,0.06720199435949326,-0.06918089836835861
80.298,0.069550059735775,-0.07153234630823135
80.401,0.07189808785915375,-0.07388383150100708
80.498,0.07424607127904892,-0.0762353464961052
80.601,0.07659410685300827,-0.07858682423830032
80.701,0.07894216477870941,-0.08093826472759247
80.801,0.08129023760557175,-0.0832897201180458
80.901,0.08363820612430573,-0.08564123511314392
81.001,0.08598623424768448,-0.08799270540475845
81.101,0.08833425492048264,-0.09034419804811478
81.201,0.09068229794502258,-0.0926956832408905
81.301,0.09303032606840134,-0.09504715353250504
81.4,0.09537835419178009,-0.09739863127470016
81.501,0.09772641956806183,-0.09975007176399231
81.601,0.10007442533969879,-0.10210157185792923
81.699,0.10242243111133575,-0.10445304214954376
81.801,0.1047704666852951,-0.10680453479290009
81.901,0.10711851716041565,-0.10915596038103104
82.001,0.1094665378332138,-0.11150743067264557
82.099,0.11181453615427017,-0.11385894566774368
